"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.770931565544,4.36835876752581,0.237130551771024,18.4217458901877,8.79213671325315e-76,1.33156910522219e-71
"ENSG00000179094",743.252688449073,2.8638885980825,0.175565883863567,16.3123297935722,8.06567902712812e-60,6.10773544329277e-56
"ENSG00000116584",2277.91345410747,-1.03470049033622,0.0650825556298075,-15.8982768934528,6.51316894085013e-57,3.28806478697251e-53
"ENSG00000189221",2383.75370672631,3.34154406813442,0.212409078964216,15.7316442612953,9.17959790505476e-56,3.47562525680136e-52
"ENSG00000120129",3440.70375496308,2.96521081657061,0.203697777241444,14.5569129753239,5.27883126987338e-48,1.59895799164465e-44
"ENSG00000148175",13493.9203682606,1.42716829196438,0.100381138944251,14.2174945111651,7.136248584761e-46,1.80130808027009e-42
"ENSG00000178695",2685.40973562001,-2.48906892129332,0.178065428684889,-13.9783951308037,2.11196892146708e-44,4.56939561651698e-41
"ENSG00000109906",439.541520915421,5.92759817865285,0.428158161852261,13.8444124316336,1.37500469014925e-43,2.6030557540388e-40
"ENSG00000134686",2933.64246142684,1.43948992679628,0.105843081359114,13.600226942678,3.99192842637671e-42,6.71752844638614e-39
"ENSG00000101347",14134.9917673153,3.85041430891126,0.284885035614294,13.5156776508414,1.26386525047548e-41,1.91412392184512e-38
"ENSG00000096060",2630.23049426017,3.94505208402205,0.292896027329004,13.4691211758589,2.376780654372e-41,3.27239481913309e-38
"ENSG00000166741",7542.25286980186,2.21959060429975,0.166736622597728,13.3119561240891,1.97248911110556e-40,2.48944563230781e-37
"ENSG00000125148",3695.87946177106,2.19856357569087,0.167007577038286,13.1644540605895,1.40549887585518e-39,1.63740619037128e-36
"ENSG00000162614",5646.18313812309,1.97114016269576,0.150211157603331,13.122461700888,2.44850121444631e-39,2.64875363519925e-36
"ENSG00000106976",989.046833637733,-1.85017137464957,0.147797282185279,-12.5183044457488,5.92881526602015e-36,5.98612714692502e-33
"ENSG00000187193",199.07693798836,3.25514246765372,0.260916033910126,12.4758238076506,1.01154576875824e-35,9.57491291740222e-33
"ENSG00000256235",1123.47954131474,1.28011886137864,0.105494291311995,12.1344846764527,6.93451770671373e-34,6.17783945106938e-31
"ENSG00000177666",2639.57019969705,1.13999465313704,0.096086997816884,11.864192648724,1.81646227974236e-32,1.528351179261e-29
"ENSG00000164125",7257.00808055341,1.02485242974147,0.0865945306115073,11.8350711356045,2.57125417793187e-32,2.04956023814622e-29
"ENSG00000198624",2020.04495478061,2.81410138795081,0.240623133382198,11.6950575299881,1.35095620154542e-31,1.02301158362027e-28
"ENSG00000123562",5008.55293511073,1.00454522295556,0.0890333411631129,11.2827982173015,1.5958755042893e-29,1.15093021487911e-26
"ENSG00000144369",1283.77979687001,-1.30900399157049,0.117164382300989,-11.1723713799619,5.56743456443476e-29,3.83267256719838e-26
"ENSG00000196517",241.91536257078,-2.34569037224133,0.210491142077803,-11.1438911352113,7.66936369869938e-29,5.05010927029574e-26
"ENSG00000135821",19973.4000047829,3.04139431373985,0.275997572354643,11.0196415417445,3.07280284220005e-28,1.93906662687999e-25
"ENSG00000164647",1885.61489540935,1.5471905521038,0.142640811872378,10.846759295566,2.06621830641283e-27,1.25171505002489e-24
"ENSG00000157150",194.419230565533,2.90878359178716,0.268518080634774,10.8327289727039,2.40867868515786e-27,1.40305533410445e-24
"ENSG00000276600",308.766133363223,-1.76082930200901,0.163005606502967,-10.8022622030302,3.35825910545656e-27,1.88373459822739e-24
"ENSG00000163697",2417.25697073947,0.91752483042933,0.0859822910004577,10.6710907531464,1.38985163486242e-26,7.51760821785404e-24
"ENSG00000116285",3268.63191573428,2.44021979029146,0.229396820150602,10.6375484572516,1.99304258683197e-26,1.04084930957138e-23
"ENSG00000181467",614.694820343917,-1.26188933884563,0.118716735927949,-10.6294140331781,2.17474554839847e-26,1.09788404434983e-23
"ENSG00000183044",534.268135899311,1.0062862956271,0.0951199414211277,10.579130733186,3.72397061535391e-26,1.81933983772694e-23
"ENSG00000162692",501.804184764929,-3.53333404627357,0.334335415386975,-10.5682314336455,4.18308626985435e-26,1.9797762986545e-23
